CustomerID,Order ID,Product ID,PromotionID,Date (dd/mm/yyyy), Discount ,Discount Percentage,Net Sales  ,Price Per Unit,Profit ,Total Sales  ,Units Sold
1,29,P018,0,2020-01-30 00:00:00,0,0,2299,2299,229.9,2299,1
1,59,P011,0,2020-02-11 00:00:00,0,0,4497,1499,449.70000000000005,4497,3
1,87,P010,0,2020-02-28 00:00:00,0,0,4398,2199,439.8,4398,2
1,160,P017,0,2020-03-07 00:00:00,0,0,20998,10499,2099.8,20998,2
1,207,P012,0,2020-03-17 00:00:00,0,0,5998,2999,599.8000000000001,5998,2
1,222,P002,PR001,2020-04-20 00:00:00,13999.8,20,55999.2,69999,5599.92,69999,1
1,268,P010,PR001,2020-04-30 00:00:00,879.6,20,3518.4,2199,351.84000000000003,4398,2
1,310,P020,PR001,2020-05-02 00:00:00,5199.6,20,20798.4,12999,2079.84,25998,2
1,424,P020,PR001,2020-05-22 00:00:00,2599.8,20,10399.2,12999,1039.92,12999,1
1,435,P003,0,2020-06-01 00:00:00,0,0,89999,89999,8999.9,89999,1
1,496,P013,0,2020-06-02 00:00:00,0,0,47997,15999,4799.7,47997,3
1,506,P011,0,2020-06-15 00:00:00,0,0,4497,1499,449.70000000000005,4497,3
1,553,P011,0,2020-06-24 00:00:00,0,0,4497,1499,449.70000000000005,4497,3
1,561,P009,0,2020-06-28 00:00:00,0,0,10497,3499,1049.7,10497,3
1,752,P030,PR004,2020-07-18 00:00:00,199.5,50,199.5,399,19.950000000000003,399,1
1,788,P008,0,2020-07-30 00:00:00,0,0,10998,5499,1099.8,10998,2
1,811,P020,0,2020-09-01 00:00:00,0,0,12999,12999,1299.9,12999,1
1,820,P001,0,2020-10-22 00:00:00,0,0,79999,79999,7999.900000000001,79999,1
1,882,P016,0,2020-11-07 00:00:00,0,0,24999,24999,2499.9,24999,1
1,894,P003,0,2020-12-08 00:00:00,0,0,89999,89999,8999.9,89999,1
1,925,P022,0,2020-12-16 00:00:00,0,0,5997,1999,599.7,5997,3
1,956,P001,0,2020-12-19 00:00:00,0,0,79999,79999,7999.900000000001,79999,1
1,963,P006,0,2020-12-21 00:00:00,0,0,22497,7499,2249.7000000000003,22497,3
1,996,P011,0,2021-01-02 00:00:00,0,0,2998,1499,299.8,2998,2
1,1000,P029,0,2021-01-11 00:00:00,0,0,198,99,19.8,198,2
1,1084,P014,0,2021-01-16 00:00:00,0,0,9998,4999,999.8000000000001,9998,2
1,1085,P028,0,2021-01-20 00:00:00,0,0,349,349,34.9,349,1
1,1103,P015,0,2021-02-03 00:00:00,0,0,16998,8499,1699.8000000000002,16998,2
1,1107,P004,0,2021-02-18 00:00:00,0,0,194997,64999,19499.7,194997,3
1,1238,P007,0,2021-03-20 00:00:00,0,0,6999,6999,699.9000000000001,6999,1
1,1256,P014,PR001,2021-04-01 00:00:00,1999.6,20,7998.4,4999,799.84,9998,2
